movie_title,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,imdb_score
Avatar,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,7.9
Pirates of the Caribbean: At World's End,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,7.1
Spectre,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,6.8
The Dark Knight Rises,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,8.5
Star Wars: Episode VII - The Force Awakens,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,7.1
John Carter,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,6.6
Spider-Man 3,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,6.2
Tangled,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,7.8
Avengers: Age of Ultron,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,7.5
Harry Potter and the Half-Blood Prince,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,7.5
Batman v Superman: Dawn of Justice,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,6.9
Superman Returns,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,6.1
Quantum of Solace,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,6.7
Pirates of the Caribbean: Dead Man's Chest,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,7.3
The Lone Ranger,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,6.5
Man of Steel,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,7.2
The Chronicles of Narnia: Prince Caspian,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,6.6
The Avengers,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,8.1
Pirates of the Caribbean: On Stranger Tides,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,6.7
Men in Black 3,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,6.8
The Hobbit: The Battle of the Five Armies,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,7.5
The Amazing Spider-Man,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,7.0
Robin Hood,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,6.7
The Hobbit: The Desolation of Smaug,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,7.9
The Golden Compass,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,6.1
King Kong,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,7.2
